Source=C#
Scan	Interpolated_NET	Aligned_NET
1066	0.12686	0.12686
1067	0.12689	0.12689
1068	0.12693	0.12693
1069	0.12697	0.12697
1070	0.12701	0.12701
1071	0.12705	0.12705
1072	0.12709	0.12709
1073	0.12712	0.12712
1074	0.12716	0.12716
1075	0.1272	0.1272
1076	0.12724	0.12724
1077	0.12728	0.12728
1078	0.12732	0.12732
1079	0.12735	0.12735
1080	0.12739	0.12739
1081	0.12743	0.12743
1082	0.12747	0.12747
1083	0.12751	0.12751
1084	0.12755	0.12755
1085	0.12758	0.12758
1086	0.12762	0.12762
1087	0.12766	0.12766
1088	0.1277	0.1277
1089	0.12774	0.12774
1090	0.12777	0.12777
1091	0.12781	0.12781
1092	0.12785	0.12785
1093	0.12789	0.12789
1094	0.12793	0.12793
1095	0.12797	0.12797
1096	0.128	0.128
1097	0.12804	0.12804
1098	0.12808	0.12808
1099	0.12812	0.12812
1100	0.12816	0.12816
1101	0.1282	0.1282
1102	0.12823	0.12823
1103	0.12827	0.12827
1104	0.12831	0.12831
1105	0.12835	0.12835
1106	0.12839	0.12839
1107	0.12843	0.12843
1108	0.12846	0.12846
1109	0.1285	0.1285
1110	0.12854	0.12854
1111	0.12858	0.12858
1112	0.12862	0.12862
1113	0.12865	0.12865
1114	0.12868	0.12868
1115	0.1287	0.1287
1116	0.12872	0.12872
1117	0.12874	0.12874
1118	0.12875	0.12875
1119	0.12877	0.12877
1120	0.12879	0.12879
1121	0.12881	0.12881
1122	0.12883	0.12883
1123	0.12885	0.12885
1124	0.12887	0.12887
1125	0.12889	0.12889
1126	0.12891	0.12891
1127	0.12893	0.12893
1128	0.12895	0.12895
1129	0.12896	0.12896
1130	0.12898	0.12898
1131	0.129	0.129
1132	0.12902	0.12902
1133	0.12904	0.12904
1134	0.12906	0.12906
1135	0.12908	0.12908
1136	0.1291	0.1291
1137	0.12912	0.12912
1138	0.12914	0.12914
1139	0.12916	0.12916
1140	0.12918	0.12918
